Site,Paper_ID,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at
Wawona,5,37.53822,-119.6514,1208,11.5,17.3,29.1,21.4,-0.3,3.5,12.4,6,5.6,10.4,20.8,13.7,584,282,16,169,9.5,20.4,27.5,17.3,47,10,0,4,174,521,1453,807,1112,721,54,471,0,7,307,70,41,70,92,77,16,3,0,2,114,301,510,249,0,107,494,140,61,57,53,54,47.57,6.08,-46.84,-14.14
Redwood Creek,4,36.68952,-118.9096,1677,8.7,13.6,25.6,17.9,-3.1,1.2,10.8,4.4,2.8,7.4,18.2,11.2,532,263,19,175,9.5,21.6,28.3,17.8,98,25,0,11,72,316,1216,605,1364,979,132,654,0,0,152,30,21,53,92,70,49,16,0,5,103,257,450,220,0,81,431,111,59,60,57,58,46.24,10.61,-38.13,-6.95
North Fork Middle Fork Tule,3,36.20081,-118.6509,1284,10.6,16.8,29.1,20.6,1.1,5,14,8,5.9,10.9,21.5,14.3,493,252,18,149,7.9,21.2,26.9,15.4,44,9,0,4,192,566,1519,863,1088,675,40,435,0,11,362,92,53,79,92,84,12,2,0,2,109,289,499,240,0,112,481,145,68,63,57,61,39.54,4.28,-44.92,-13.35
South Fork Middle Fork Tule,58,36.13756,-118.5741,1664,9.4,14.7,26.1,18.3,-2.3,1.4,10.7,4.7,3.6,8.1,18.4,11.5,530,262,22,161,8.8,21.7,27.4,16.1,81,20,0,9,95,351,1235,629,1294,923,122,626,0,0,163,32,26,56,91,72,35,10,0,4,110,274,464,226,0,92,442,132,60,58,55,58,44.9,8.49,-39.42,-8.96
West Fork Mojave River,2,34.28425,-117.3754,1087,14,20.4,30.9,22.8,2.6,5.8,14.1,9.4,8.3,13.1,22.5,16.1,364,143,16,88,8.6,21.6,24.6,14.7,23,4,0,2,336,749,1611,1007,875,492,26,315,0,28,442,134,65,83,92,87,3,0,0,0,141,353,548,270,0,213,532,182,63,56,53,60,21.15,-13.94,-50.97,-23.08
Mill Creek,12,34.07808,-116.8756,1992,8,14,24.4,16.9,-4.6,-0.9,8.9,2.5,1.7,6.5,16.6,9.7,470,194,26,140,14.2,25.1,27.2,20.4,130,34,0,16,50,266,1073,498,1464,1051,203,771,0,0,80,17,14,37,90,60,68,21,0,6,112,283,451,229,0,140,424,126,56,52,54,55,40.93,2.12,-36.74,-9.57
Whitewater Canyon,17,33.99329,-116.6627,696,17.3,24.8,35.7,27.2,5.3,8.9,17.4,12.2,11.3,16.8,26.5,19.7,168,58,13,39,8.8,22.5,24,14.1,10,1,0,1,557,1079,1980,1332,611,247,5,158,10,126,792,302,82,91,92,90,0,0,0,0,163,416,629,319,1,358,616,280,62,53,51,57,-3.81,-30.43,-65.26,-37.21
Sweetwater River,1,32.89913,-116.5865,1386,12.8,18.1,29.2,22.4,0.9,3.9,12.3,7,6.9,11,20.8,14.7,381,195,24,112,12.2,23.8,24.6,16.9,34,8,0,3,248,573,1452,888,1001,665,55,398,0,7,306,87,51,74,92,82,6,1,0,1,143,329,531,287,0,181,507,186,61,56,52,54,24.77,-4.91,-47.42,-22.69
Kitchen Creek,15,32.75206,-116.4522,1173,14.5,19.8,31,23.8,0.8,3,10.5,6.1,7.6,11.4,20.7,14.9,288,141,26,78,12.3,23.8,24.1,16.7,27,6,0,2,296,603,1448,908,930,631,57,376,0,8,305,87,50,69,91,79,3,1,0,0,159,364,584,311,0,226,558,233,57,50,44,48,12.6,-14.27,-54.6,-30.04
Hauser Creek,14,32.65822,-116.5323,788,17,22.1,33,26.1,1.7,4.1,11.2,6.9,9.4,13.1,22.1,16.5,204,87,20,54,8.3,21.7,22.3,13.2,17,4,0,1,415,748,1572,1040,776,486,33,286,1,23,410,137,57,76,92,82,1,0,0,0,181,399,625,339,0,312,605,285,52,47,42,46,-1.14,-23.7,-60.57,-36.89
