chr2.0,marker,cM,bp2.0,diff
CE10_chr1,15245,4.84,266979,0
CE10_chr1,15244,4.84,266990,0
CE10_chr1,15243,4.84,266993,0
CE10_chr1,15242,4.84,267032,0
CE10_chr1,15241,4.84,267039,0
CE10_chr1,15240,4.84,267045,0
CE10_chr1,15239,4.84,267048,0
CE10_chr1,15238,4.84,267064,0
CE10_chr1,15237,4.84,267100,0
CE10_chr1,15236,4.84,267104,0
CE10_chr1,15233,4.84,269535,0
CE10_chr1,15232,4.84,272025,0
CE10_chr1,15231,4.84,272032,0
CE10_chr1,15230,4.84,274572,0
CE10_chr1,15229,4.84,274810,0
CE10_chr1,15228,4.84,274816,0
CE10_chr1,15227,4.84,274918,0
CE10_chr1,15226,4.84,275569,0
CE10_chr1,15225,4.84,275626,0
CE10_chr1,15224,4.84,275956,0
CE10_chr1,15223,4.84,277490,0
CE10_chr1,15222,4.84,277521,0
CE10_chr1,15221,4.84,277951,0
CE10_chr1,15220,4.84,277980,0
CE10_chr1,15219,4.84,277989,0
CE10_chr1,15218,4.84,278120,0
CE10_chr1,15217,4.84,278256,0
CE10_chr1,15216,4.84,278318,0
CE10_chr1,15215,4.84,279245,0
CE10_chr1,15214,4.84,281530,0
CE10_chr1,15213,4.84,281551,0
CE10_chr1,15212,4.84,281560,0
CE10_chr1,15211,4.84,281574,0
CE10_chr1,15210,4.84,281595,0
CE10_chr1,15209,4.84,281778,0
CE10_chr1,15208,4.84,281797,0
CE10_chr1,15207,4.84,281897,0
CE10_chr1,15206,4.84,281980,0
CE10_chr1,15196,4.84,320506,0
CE10_chr1,15195,4.84,320572,0
CE10_chr1,15194,4.84,320608,0
CE10_chr1,15193,4.84,320625,0
CE10_chr1,15192,4.84,325881,0
CE10_chr1,15191,4.84,325890,0
CE10_chr1,15190,4.84,325932,0
CE10_chr1,15189,4.84,325992,0
CE10_chr1,15188,4.84,326004,0
CE10_chr1,15187,4.84,326007,0
CE10_chr1,15186,4.84,326014,0
CE10_chr1,15185,4.84,326016,0
CE10_chr1,15184,4.84,326020,0
CE10_chr1,15183,4.84,326061,0
CE10_chr1,15182,4.84,326083,0
CE10_chr1,15181,4.84,326284,0
CE10_chr1,15180,4.84,326314,0
CE10_chr1,15179,4.84,326443,0
CE10_chr1,15178,4.84,326479,0
CE10_chr1,15177,4.84,326490,0
CE10_chr1,15176,4.84,326838,0
CE10_chr1,15175,4.84,327080,0
CE10_chr1,15174,4.84,329687,0
CE10_chr1,15173,4.84,329746,0
CE10_chr1,15172,4.84,329751,0
CE10_chr1,15171,4.84,329752,0
CE10_chr1,15170,4.84,329815,0
CE10_chr1,15169,4.84,330091,0
CE10_chr1,15168,4.84,330145,0
CE10_chr1,15167,4.84,330176,0
CE10_chr1,15166,4.84,330202,0
CE10_chr1,15165,4.84,330496,0
CE10_chr1,15164,4.84,330585,0
CE10_chr1,15163,4.84,330695,0
CE10_chr1,15162,4.84,330734,0
CE10_chr1,15161,4.84,331087,0
CE10_chr1,15160,4.84,336520,0
CE10_chr1,15159,4.84,336655,0
CE10_chr1,15158,4.84,337020,1.08
CE10_chr1,15157,5.92,345577,0
CE10_chr1,15152,5.92,384537,0
CE10_chr1,15151,5.92,384557,0
CE10_chr1,15150,5.92,384667,0
CE10_chr1,15149,5.92,384668,0
CE10_chr1,15148,5.92,384685,0
CE10_chr1,15147,5.92,384738,0
CE10_chr1,15146,5.92,384741,0.53
CE10_chr1,15145,6.45,384817,0
CE10_chr1,15144,6.45,384870,0
CE10_chr1,15143,6.45,384888,0
CE10_chr1,15142,6.45,384894,0
CE10_chr1,15141,6.45,384896,0
CE10_chr1,15140,6.45,384904,0
CE10_chr1,15139,6.45,384908,0
CE10_chr1,15138,6.45,384914,0
CE10_chr1,15137,6.45,384946,0
CE10_chr1,15136,6.45,384997,0
CE10_chr1,15135,6.45,385052,0
CE10_chr1,15134,6.45,385140,0
CE10_chr1,15133,6.45,385169,0
CE10_chr1,15132,6.45,385208,0
CE10_chr1,15131,6.45,385253,0
CE10_chr1,15130,6.45,385324,0
CE10_chr1,15129,6.45,385326,0
CE10_chr1,15128,6.45,385327,0
CE10_chr1,15127,6.45,385338,0
CE10_chr1,15126,6.45,385422,0
CE10_chr1,15125,6.45,385504,0
CE10_chr1,15124,6.45,385520,0
CE10_chr1,15123,6.45,385548,0
CE10_chr1,15122,6.45,387137,0
CE10_chr1,15121,6.45,387172,0
CE10_chr1,15120,6.45,387175,0
CE10_chr1,15119,6.45,387208,0
CE10_chr1,15118,6.45,387239,0
CE10_chr1,15117,6.45,387314,0
CE10_chr1,15116,6.45,387464,0
CE10_chr1,15113,6.45,394678,0
CE10_chr1,15112,6.45,394978,0.54
CE10_chr1,15111,6.99,415210,0
CE10_chr1,15110,6.99,415354,0
CE10_chr1,15109,6.99,415580,0
CE10_chr1,15108,6.99,415585,0
CE10_chr1,15107,6.99,415591,0
CE10_chr1,15106,6.99,415598,0
CE10_chr1,15105,6.99,415602,0
CE10_chr1,15104,6.99,415633,0
CE10_chr1,15103,6.99,415716,0
CE10_chr1,15102,6.99,415784,0
CE10_chr1,15101,6.99,415798,0
CE10_chr1,15100,6.99,415842,0
CE10_chr1,15099,6.99,420652,0
CE10_chr1,15098,6.99,421071,0
CE10_chr1,15097,6.99,421095,0
CE10_chr1,15096,6.99,421264,0
CE10_chr1,15095,6.99,421526,0
CE10_chr1,15094,6.99,421551,0
CE10_chr1,15093,6.99,421607,0
CE10_chr1,15092,6.99,421629,0
CE10_chr1,15091,6.99,421677,0
CE10_chr1,15090,6.99,421800,0
CE10_chr1,15086,6.99,441394,0
CE10_chr1,15085,6.99,441400,0
CE10_chr1,15084,6.99,441500,0
CE10_chr1,15083,6.99,441508,0
CE10_chr1,15082,6.99,441515,0
CE10_chr1,15081,6.99,441546,0
CE10_chr1,15080,6.99,443854,0
CE10_chr1,15079,6.99,443873,0
CE10_chr1,15078,6.99,443875,0
CE10_chr1,15077,6.99,443882,0
CE10_chr1,15076,6.99,443900,0
CE10_chr1,15075,6.99,443918,0
CE10_chr1,15074,6.99,443922,0
CE10_chr1,15073,6.99,444081,0
CE10_chr1,15072,6.99,444520,0
CE10_chr1,15071,6.99,444531,0
CE10_chr1,15070,6.99,444534,0
CE10_chr1,15069,6.99,444561,0.54
CE10_chr1,15068,7.53,444733,0
CE10_chr1,15067,7.53,444762,0
CE10_chr1,15066,7.53,444889,0
CE10_chr1,15061,7.53,450508,0
CE10_chr1,15060,7.53,450537,0
CE10_chr1,15059,7.53,450608,0
CE10_chr1,15058,7.53,450611,0
CE10_chr1,15057,7.53,450613,0
CE10_chr1,15056,7.53,450668,0
CE10_chr1,15055,7.53,450790,0
CE10_chr1,15054,7.53,450796,0
CE10_chr1,15053,7.53,450801,0
CE10_chr1,15052,7.53,450802,0
CE10_chr1,15051,7.53,450842,0
CE10_chr1,15050,7.53,451271,0
CE10_chr1,15049,7.53,451313,0
CE10_chr1,15048,7.53,451475,0
CE10_chr1,15031,7.53,457554,0
CE10_chr1,15030,7.53,457643,0
CE10_chr1,15029,7.53,457668,0
CE10_chr1,15028,7.53,457746,0
CE10_chr1,15026,7.53,476079,0
CE10_chr1,15025,7.53,476254,0
CE10_chr1,15024,7.53,476406,0
CE10_chr1,15000,7.53,484175,0
CE10_chr1,14999,7.53,484509,0
CE10_chr1,14998,7.53,484669,0
CE10_chr1,14997,7.53,484720,0
CE10_chr1,14996,7.53,484882,0
CE10_chr1,14995,7.53,484931,0
CE10_chr1,14994,7.53,484959,0
CE10_chr1,14993,7.53,484977,0
CE10_chr1,14992,7.53,484990,0
CE10_chr1,14991,7.53,484992,0
CE10_chr1,14983,7.53,500974,0
CE10_chr1,14982,7.53,500983,0
CE10_chr1,14981,7.53,501006,0
CE10_chr1,14980,7.53,501261,0
CE10_chr1,14979,7.53,501276,0
CE10_chr1,14899,7.53,628536,0
CE10_chr1,14898,7.53,628537,0
CE10_chr1,14897,7.53,628718,0
CE10_chr1,14896,7.53,628853,0
CE10_chr1,14895,7.53,628861,0
CE10_chr1,14894,7.53,628863,0
CE10_chr1,14893,7.53,633062,0
CE10_chr1,14892,7.53,633071,0
CE10_chr1,14891,7.53,633193,0
CE10_chr1,14890,7.53,633246,0
CE10_chr1,14889,7.53,633282,0
CE10_chr1,14880,7.53,658328,0
CE10_chr1,14780,7.53,714486,0
CE10_chr1,14779,7.53,714514,0
CE10_chr1,14778,7.53,714528,0
CE10_chr1,14777,7.53,714544,0
CE10_chr1,14776,7.53,714546,0
CE10_chr1,14775,7.53,714553,0
CE10_chr1,14774,7.53,714595,0
CE10_chr1,14773,7.53,714631,0
CE10_chr1,14772,7.53,714667,0.54
CE10_chr1,14771,8.07,714700,0
CE10_chr1,14770,8.07,714715,0
CE10_chr1,14744,8.07,720507,0
CE10_chr1,14743,8.07,722408,0
CE10_chr1,14742,8.07,722478,0
CE10_chr1,14741,8.07,722483,0
CE10_chr1,14740,8.07,722517,0
CE10_chr1,14739,8.07,722522,0
CE10_chr1,14738,8.07,722534,0
CE10_chr1,14737,8.07,722548,0
CE10_chr1,14736,8.07,722557,0
CE10_chr1,14735,8.07,722824,0
CE10_chr1,14734,8.07,722825,0
CE10_chr1,14733,8.07,722847,0
CE10_chr1,14732,8.07,722860,0.54
CE10_chr1,14731,8.61,722893,0
CE10_chr1,14730,8.61,722894,0.53
CE10_chr1,14729,9.14,722936,0
CE10_chr1,14728,9.14,722952,0
CE10_chr1,14727,9.14,723001,0
CE10_chr1,14706,9.14,735927,0
CE10_chr1,14705,9.14,736063,0.54
CE10_chr1,14704,9.68,779981,0
CE10_chr1,14703,9.68,780012,0
CE10_chr1,14702,9.68,780147,0
CE10_chr1,14701,9.68,780305,0
CE10_chr1,14700,9.68,780415,0
CE10_chr1,14676,9.68,823493,0
CE10_chr1,14675,9.68,823823,0
CE10_chr1,14674,9.68,823873,0
CE10_chr1,14673,9.68,823891,0.54
CE10_chr1,14672,10.22,837607,0
CE10_chr1,14671,10.22,837715,0
CE10_chr1,14670,10.22,837739,0
CE10_chr1,14669,10.22,837763,0
CE10_chr1,14668,10.22,838033,0
CE10_chr1,14667,10.22,838051,0
CE10_chr1,14666,10.22,838097,0
CE10_chr1,14665,10.22,838114,0
CE10_chr1,14664,10.22,840306,0
CE10_chr1,14663,10.22,841332,0
CE10_chr1,14662,10.22,841632,0
CE10_chr1,14661,10.22,841724,0.54
CE10_chr1,14593,10.76,987941,0
CE10_chr1,14592,10.76,987968,0.53
CE10_chr1,14591,11.29,988008,1.08
CE10_chr1,14590,12.37,1019854,0.54
CE10_chr1,14519,12.91,1077048,0
CE10_chr1,14518,12.91,1077259,0
CE10_chr1,14517,12.91,1077280,0.53
CE10_chr1,14516,13.44,1077389,0
CE10_chr1,14515,13.44,1077485,0.54
CE10_chr1,14509,13.98,1151525,0
CE10_chr1,14508,13.98,1151906,0
CE10_chr1,14507,13.98,1152157,0
CE10_chr1,14506,13.98,1152199,0
CE10_chr1,14505,13.98,1152202,0
CE10_chr1,14504,13.98,1152254,0
CE10_chr1,14503,13.98,1152262,0
CE10_chr1,14502,13.98,1152289,0
CE10_chr1,14491,13.98,1158547,0
CE10_chr1,14490,13.98,1158655,0
CE10_chr1,14489,13.98,1158886,0
CE10_chr1,14488,13.98,1159075,0
CE10_chr1,14487,13.98,1159109,0
CE10_chr1,14468,13.98,1162574,0
CE10_chr1,14467,13.98,1162681,0
CE10_chr1,14466,13.98,1162697,0
CE10_chr1,14465,13.98,1162730,0
CE10_chr1,14464,13.98,1162751,0
CE10_chr1,14463,13.98,1164624,0
CE10_chr1,14462,13.98,1164807,0
CE10_chr1,14454,13.98,1176631,0
CE10_chr1,14453,13.98,1176823,0
CE10_chr1,14452,13.98,1176875,0
CE10_chr1,14451,13.98,1176925,1.08
CE10_chr1,14450,15.06,1206109,0
CE10_chr1,14449,15.06,1206211,0
CE10_chr1,14448,15.06,1206639,0
CE10_chr1,14447,15.06,1206719,0
CE10_chr1,14446,15.06,1206795,0
CE10_chr1,14445,15.06,1210744,0
CE10_chr1,14444,15.06,1210752,0
CE10_chr1,14443,15.06,1226052,0
CE10_chr1,14442,15.06,1226094,0
CE10_chr1,14441,15.06,1226126,0
CE10_chr1,14440,15.06,1226129,0
CE10_chr1,14439,15.06,1226180,0
CE10_chr1,14438,15.06,1244211,0.54
CE10_chr1,14437,15.6,1244402,0
CE10_chr1,14436,15.6,1244414,0
CE10_chr1,14435,15.6,1244426,0
CE10_chr1,14434,15.6,1244446,0
CE10_chr1,14433,15.6,1244474,0
CE10_chr1,14432,15.6,1244513,0
CE10_chr1,14431,15.6,1244520,0
CE10_chr1,14430,15.6,1244522,0
CE10_chr1,14429,15.6,1244561,0
CE10_chr1,14428,15.6,1244564,0
CE10_chr1,14427,15.6,1244591,0
CE10_chr1,14426,15.6,1244612,0
CE10_chr1,14425,15.6,1244648,0
CE10_chr1,14423,15.6,1244690,0
CE10_chr1,14422,15.6,1244702,0
CE10_chr1,14421,15.6,1244705,0
CE10_chr1,14420,15.6,1244707,0
CE10_chr1,14419,15.6,1244708,0
CE10_chr1,14418,15.6,1244714,0
CE10_chr1,14417,15.6,1244717,0
CE10_chr1,14416,15.6,1244720,0
CE10_chr1,14415,15.6,1244729,0
CE10_chr1,14414,15.6,1244734,0
CE10_chr1,14413,15.6,1244735,0
CE10_chr1,14412,15.6,1244942,0
CE10_chr1,14411,15.6,1245001,0
CE10_chr1,14410,15.6,1245182,0
CE10_chr1,14398,15.6,1263739,0
CE10_chr1,14395,15.6,1287789,0
CE10_chr1,14394,15.6,1287903,1.07
CE10_chr1,14393,16.67,1311625,0
CE10_chr1,14392,16.67,1311748,0
CE10_chr1,14391,16.67,1312055,0
CE10_chr1,14390,16.67,1312076,0
CE10_chr1,14389,16.67,1312141,0
CE10_chr1,14388,16.67,1312142,0
CE10_chr1,14387,16.67,1312239,0
CE10_chr1,14347,16.67,1369569,0
CE10_chr1,14346,16.67,1369770,0
CE10_chr1,14345,16.67,1369846,0
CE10_chr1,14318,16.67,1407911,0.54
CE10_chr1,14317,17.21,1408293,0.54
CE10_chr1,14316,17.75,1414361,0
CE10_chr1,14315,17.75,1414369,0
CE10_chr1,14314,17.75,1414374,0
CE10_chr1,14313,17.75,1414408,0
CE10_chr1,14312,17.75,1414440,0
CE10_chr1,14311,17.75,1414445,0
CE10_chr1,14310,17.75,1414493,0
CE10_chr1,14309,17.75,1414640,0
CE10_chr1,14308,17.75,1414736,0
CE10_chr1,14307,17.75,1414790,0
CE10_chr1,14306,17.75,1414796,0
CE10_chr1,14305,17.75,1414937,0
CE10_chr1,14304,17.75,1414964,0
CE10_chr1,14303,17.75,1414970,0
CE10_chr1,14302,17.75,1415114,0
CE10_chr1,14301,17.75,1415345,0
CE10_chr1,14300,17.75,1415552,0
CE10_chr1,14299,17.75,1415561,0
CE10_chr1,14298,17.75,1415585,0
CE10_chr1,14297,17.75,1416409,0
CE10_chr1,14296,17.75,1416416,0
CE10_chr1,14295,17.75,1416432,0
CE10_chr1,14294,17.75,1416800,0
CE10_chr1,14293,17.75,1417152,0
CE10_chr1,14292,17.75,1417565,0
CE10_chr1,14291,17.75,1428870,0
CE10_chr1,14290,17.75,1428980,0
CE10_chr1,14289,17.75,1431003,0
CE10_chr1,14288,17.75,1431333,0
CE10_chr1,14287,17.75,1431388,0
CE10_chr1,14286,17.75,1431393,0
CE10_chr1,14285,17.75,1431566,0.53
CE10_chr1,14282,18.28,1447769,0
CE10_chr1,14281,18.28,1447827,0
CE10_chr1,14280,18.28,1448089,0
CE10_chr1,14279,18.28,1448233,0
CE10_chr1,14278,18.28,1448698,0
CE10_chr1,14277,18.28,1462829,0
CE10_chr1,14275,18.28,1471768,0
CE10_chr1,14274,18.28,1477155,0
CE10_chr1,14273,18.28,1482738,0
CE10_chr1,14272,18.28,1482772,0
CE10_chr1,14271,18.28,1482839,0
CE10_chr1,14270,18.28,1482861,0
CE10_chr1,14269,18.28,1482871,0
CE10_chr1,14268,18.28,1483016,0
CE10_chr1,14267,18.28,1483017,0
CE10_chr1,14266,18.28,1483024,0
CE10_chr1,14265,18.28,1483042,0
CE10_chr1,14264,18.28,1483046,0
CE10_chr1,14263,18.28,1483054,0.54
CE10_chr1,14262,18.82,1483056,0
CE10_chr1,14261,18.82,1483086,1.08
CE10_chr1,14260,19.9,1556489,0
CE10_chr1,14259,19.9,1556572,0
CE10_chr1,14258,19.9,1556826,0
CE10_chr1,14248,19.9,1563929,0
CE10_chr1,14247,19.9,1563930,0
CE10_chr1,14246,19.9,1563954,0
CE10_chr1,14245,19.9,1563963,0
CE10_chr1,14244,19.9,1568058,0
CE10_chr1,14243,19.9,1568079,0
CE10_chr1,14242,19.9,1568138,0
CE10_chr1,14241,19.9,1568323,0
CE10_chr1,14240,19.9,1568337,0
CE10_chr1,14239,19.9,1568340,0
CE10_chr1,14238,19.9,1568342,0
CE10_chr1,14237,19.9,1568358,0
CE10_chr1,14236,19.9,1568484,0
CE10_chr1,14145,19.9,1598881,0.53
CE10_chr1,14144,20.43,1599241,0.54
CE10_chr1,14143,20.97,1599357,0
CE10_chr1,14142,20.97,1599443,0
CE10_chr1,14025,20.97,1798518,0
CE10_chr1,14024,20.97,1798565,0.54
CE10_chr1,14021,21.51,2110182,0
CE10_chr1,14020,21.51,2110235,0
CE10_chr1,14019,21.51,2110298,0
CE10_chr1,14018,21.51,2110409,0.54
CE10_chr1,14017,22.05,2126905,0
CE10_chr1,14016,22.05,2127049,0
CE10_chr1,14015,22.05,2127273,0
CE10_chr1,14014,22.05,2127466,0
CE10_chr1,14009,22.05,2140669,0
CE10_chr1,14008,22.05,2140739,0
CE10_chr1,14007,22.05,2140744,0
CE10_chr1,14006,22.05,2140749,0
CE10_chr1,14005,22.05,2140774,0
CE10_chr1,14004,22.05,2140785,0
CE10_chr1,14003,22.05,2140846,0
CE10_chr1,14002,22.05,2140869,0
CE10_chr1,14001,22.05,2140878,0
CE10_chr1,14000,22.05,2140904,0
CE10_chr1,13999,22.05,2140919,0
CE10_chr1,13998,22.05,2140937,0
CE10_chr1,13997,22.05,2140942,0
CE10_chr1,13996,22.05,2141010,0
CE10_chr1,13989,22.05,2165262,0.54
CE10_chr1,13988,22.59,2171771,0.53
CE10_chr1,13987,23.12,2171969,0
CE10_chr1,13958,23.12,2249652,0
CE10_chr1,13957,23.12,2249787,0
CE10_chr1,13910,23.12,2322044,0
CE10_chr1,13909,23.12,2322119,0.54
CE10_chr1,13901,23.66,2345445,0
CE10_chr1,13862,23.66,2540002,0
CE10_chr1,13861,23.66,2540254,0
CE10_chr1,13860,23.66,2540802,0
CE10_chr1,13840,23.66,2637487,0
CE10_chr1,13834,23.66,2662842,0
CE10_chr1,13833,23.66,2663166,0
CE10_chr1,13832,23.66,2663301,0.54
CE10_chr1,13828,24.2,2693547,0
CE10_chr1,13827,24.2,2721263,0
CE10_chr1,13826,24.2,2721327,0.54
CE10_chr1,13825,24.74,2721738,0
CE10_chr1,13823,24.74,2732866,0
CE10_chr1,13822,24.74,2732962,0
CE10_chr1,13821,24.74,2733072,1.07
CE10_chr1,13820,25.81,2743001,1.61
CE10_chr1,13819,27.42,2826118,0
CE10_chr1,13818,27.42,2857346,0
CE10_chr1,13817,27.42,2857431,0
CE10_chr1,13816,27.42,2857450,0
CE10_chr1,13815,27.42,2857602,0
CE10_chr1,13814,27.42,2857722,0
CE10_chr1,13813,27.42,2857726,0
CE10_chr1,13812,27.42,2857728,0.54
CE10_chr1,13811,27.96,2909719,0
CE10_chr1,13810,27.96,2909822,0
CE10_chr1,13809,27.96,2909883,0.54
CE10_chr1,13808,28.5,2910004,0
CE10_chr1,13807,28.5,2910008,0
CE10_chr1,13806,28.5,2910009,0
CE10_chr1,13805,28.5,2910208,0
CE10_chr1,13804,28.5,2910233,0
CE10_chr1,13803,28.5,2910318,0.54
CE10_chr1,13791,29.04,2933712,0
CE10_chr1,13790,29.04,2933770,0.54
CE10_chr1,13789,29.58,3017981,0
CE10_chr1,13788,29.58,3017988,0
CE10_chr1,13787,29.58,3018228,0
CE10_chr1,13786,29.58,3018524,0
CE10_chr1,13785,29.58,3018773,0.53
CE10_chr1,13784,30.11,3018916,0
CE10_chr1,13783,30.11,3018960,0
CE10_chr1,13782,30.11,3018987,0
CE10_chr1,13781,30.11,3019010,0
CE10_chr1,13780,30.11,3019012,0
CE10_chr1,13779,30.11,3019014,0
CE10_chr1,13778,30.11,3019040,0
CE10_chr1,13777,30.11,3019048,0
CE10_chr1,13776,30.11,3019217,1.08
CE10_chr1,13775,31.19,3056140,0
CE10_chr1,13774,31.19,3056190,0
CE10_chr1,13773,31.19,3056214,0.54
CE10_chr1,13725,31.73,3318631,0
CE10_chr1,13724,31.73,3318705,0
CE10_chr1,13723,31.73,3318739,0
CE10_chr1,13722,31.73,3318786,0
CE10_chr1,13721,31.73,3318816,0.53
CE10_chr1,13720,32.26,3318832,0
CE10_chr1,13719,32.26,3318852,0
CE10_chr1,13718,32.26,3318876,0
CE10_chr1,13714,32.26,3379917,0
CE10_chr1,13713,32.26,3379919,0
CE10_chr1,13712,32.26,3434964,0
CE10_chr1,13704,32.26,3554538,0
CE10_chr1,13703,32.26,3554646,0
CE10_chr1,13702,32.26,3554683,0
CE10_chr1,13694,32.26,3582171,0
CE10_chr1,13693,32.26,3582281,0.54
CE10_chr1,13692,32.8,3582425,0
CE10_chr1,13690,32.8,3592542,0
CE10_chr1,13689,32.8,3592803,0
CE10_chr1,13688,32.8,3593391,0
CE10_chr1,13686,32.8,3648818,0.54
CE10_chr1,13685,33.34,3649061,0.54
CE10_chr1,13683,33.88,3664550,0
CE10_chr1,13682,33.88,3668140,0
CE10_chr1,13681,33.88,3668297,0
CE10_chr1,13680,33.88,3668350,0
CE10_chr1,13679,33.88,3668351,0
CE10_chr1,13667,33.88,3777595,0
CE10_chr1,13666,33.88,3777746,0
CE10_chr1,13665,33.88,3777824,0
CE10_chr1,13663,33.88,3781099,0
CE10_chr1,13659,33.88,3807664,0
CE10_chr1,13658,33.88,3807704,0
CE10_chr1,13657,33.88,3807849,0
CE10_chr1,13656,33.88,3807857,0
CE10_chr1,13655,33.88,3807878,0
CE10_chr1,13654,33.88,3807881,0
CE10_chr1,13653,33.88,3807922,0
CE10_chr1,13652,33.88,3807972,0
CE10_chr1,13651,33.88,3807978,0
CE10_chr1,13650,33.88,3808011,0
CE10_chr1,13649,33.88,3808012,0
CE10_chr1,13648,33.88,3808013,0
CE10_chr1,13647,33.88,3808028,0
CE10_chr1,13646,33.88,3808043,0
CE10_chr1,13645,33.88,3808048,0
CE10_chr1,13644,33.88,3808120,0
CE10_chr1,13643,33.88,3808354,0
CE10_chr1,13642,33.88,3808393,0
CE10_chr1,13641,33.88,3874439,0.53
CE10_chr1,13625,34.41,3917407,0
CE10_chr1,13584,34.41,4109037,0
CE10_chr1,13583,34.41,4109038,0
CE10_chr1,13567,34.41,4155972,0
CE10_chr1,13566,34.41,4156052,0
CE10_chr1,13554,34.41,4180317,0
CE10_chr1,13553,34.41,4180431,0
CE10_chr1,13552,34.41,4195665,0.54
CE10_chr1,13548,34.95,4354160,0
CE10_chr1,13547,34.95,4372610,0
CE10_chr1,13546,34.95,4372646,0
CE10_chr1,13545,34.95,4372934,0
CE10_chr1,13544,34.95,4372998,0
CE10_chr1,13543,34.95,4373215,0
CE10_chr1,13542,34.95,4373218,0
CE10_chr1,13539,34.95,4378492,0
CE10_chr1,13538,34.95,4378611,0
CE10_chr1,13537,34.95,4379455,0
CE10_chr1,13532,34.95,4381284,0.54
CE10_chr1,13531,35.49,4381356,0
CE10_chr1,13530,35.49,4381476,0
CE10_chr1,13519,35.49,4382562,0.54
CE10_chr1,13518,36.03,4382730,0
CE10_chr1,13517,36.03,4382755,0
CE10_chr1,13516,36.03,4382944,0
CE10_chr1,13515,36.03,4382973,0
CE10_chr1,13514,36.03,4383349,0
CE10_chr1,13513,36.03,4383388,0
CE10_chr1,13487,36.03,4520323,0
